window_key,window_ts,window_id,market_slug,target_buy_second,target_sell_second,up_0,up_10,up_20,up_30,up_0_bucket,up_10_bucket,up_20_bucket,up_30_bucket,up_slope_0_30,up_slope_dir,btc_slope_0_30,btc_slope_dir,crossed_below_45_before_buy,crossed_above_55_before_buy,spread_30,spread_30_bucket,up_volatility_0_buy,btc_volatility_0_buy,up_range_0_buy,btc_change_0_buy,up_change_10_30,up_profit_c,down_profit_c,up_win,down_win
1773901200__btc-updown-5m-1773900900,1773901200,1773901200,btc-updown-5m-1773900900,65,265,54.5,50.5,46.5,52.5,45to55,45to55,45to55,45to55,-0.06666666666666667,negative,0.09299999999978657,positive,False,True,5.0,neutral,3.7192263480593883,5.528060867601525,13.5,8.25,2.0,29.0,-29.0,True,False
1773901500__btc-updown-5m-1773901200,1773901500,1773901500,btc-updown-5m-1773901200,65,265,49.5,37.5,45.5,37.5,45to55,lt45,45to55,lt45,-0.4,negative,-0.5986666666668801,negative,True,True,-25.0,down_dominant,9.537767467518949,13.255599995634347,40.0,27.580000000001746,0.0,-70.0,71.0,False,True
1773901800__btc-updown-5m-1773901500,1773901800,1773901800,btc-updown-5m-1773901500,65,265,49.5,56.0,64.5,64.0,45to55,gt55,gt55,gt55,0.48333333333333334,positive,0.808666666666492,positive,False,True,28.5,up_dominant,8.384584136845552,14.168752833756816,32.0,52.14999999999418,8.0,-71.0,72.0,False,True
1773902100__btc-updown-5m-1773901800,1773902100,1773902100,btc-updown-5m-1773901800,65,265,49.5,36.5,29.5,46.5,45to55,lt45,lt45,45to55,-0.1,negative,0.19066666666670548,positive,True,True,-5.0,neutral,9.170960677207344,13.744163689989023,34.0,19.60000000000582,10.0,-62.0,62.0,False,True
1773902400__btc-updown-5m-1773902100,1773902400,1773902400,btc-updown-5m-1773902100,65,265,52.5,42.5,35.0,42.5,45to55,lt45,lt45,lt45,-0.3333333333333333,negative,-1.1846666666669383,negative,True,True,-15.0,down_dominant,6.619842449000337,13.240158138573554,27.0,-28.80000000000291,0.0,-4.5,5.5,False,True
1773902700__btc-updown-5m-1773902400,1773902700,1773902700,btc-updown-5m-1773902400,65,265,50.5,60.5,49.5,44.5,45to55,gt55,45to55,lt45,-0.2,negative,-0.6983333333332363,negative,True,True,-11.0,down_dominant,7.853357122275213,14.524508703437158,27.0,7.2299999999959255,-16.0,-3.0,4.0,False,True
1773903000__btc-updown-5m-1773902700,1773903000,1773903000,btc-updown-5m-1773902700,65,265,49.5,54.5,61.5,60.5,45to55,45to55,gt55,gt55,0.36666666666666664,positive,0.2990000000000388,positive,True,True,21.0,up_dominant,6.307895303416295,8.916118107015858,24.0,-21.270000000004075,6.0,-37.5,35.0,False,True
1773903300__btc-updown-5m-1773903000,1773903300,1773903300,btc-updown-5m-1773903000,65,265,50.5,57.5,55.5,56.5,45to55,gt55,gt55,gt55,0.2,positive,0.26833333333343035,positive,False,True,13.0,up_dominant,2.8427569747748143,3.0884015972789975,13.0,6.610000000000582,-1.0,-30.0,29.5,False,True
1773903600__btc-updown-5m-1773903300,1773903600,1773903600,btc-updown-5m-1773903300,65,265,51.5,47.5,59.5,58.5,45to55,45to55,gt55,gt55,0.23333333333333334,positive,0.2480000000000776,positive,False,True,17.0,up_dominant,6.348760571144208,9.84335039235853,28.0,32.99000000000524,11.0,-58.0,58.0,False,True
1773904200__btc-updown-5m-1773903900,1773904200,1773904200,btc-updown-5m-1773903900,65,265,46.5,48.5,47.5,47.5,45to55,45to55,45to55,45to55,0.03333333333333333,positive,-0.027666666666724873,negative,True,True,-5.0,neutral,8.276958070112384,22.03376656113302,27.0,38.80999999999767,-1.0,-60.0,61.0,False,True
1773904500__btc-updown-5m-1773904200,1773904500,1773904500,btc-updown-5m-1773904200,65,265,52.5,53.5,37.0,25.0,45to55,45to55,lt45,lt45,-0.9166666666666666,negative,-4.235000000000097,negative,True,False,-50.0,down_dominant,15.766569403132745,67.65199949485664,46.0,-201.7100000000064,-28.5,-10.0,10.0,False,True
1773904800__btc-updown-5m-1773904500,1773904800,1773904800,btc-updown-5m-1773904500,65,265,58.5,62.5,61.0,56.5,gt55,gt55,gt55,gt55,-0.06666666666666667,negative,0.07866666666668606,positive,True,True,12.0,up_dominant,6.31166093988091,50.283135722936436,27.0,-155.97999999999593,-6.0,-27.5,28.5,False,True
1773905700__btc-updown-5m-1773905400,1773905700,1773905700,btc-updown-5m-1773905400,65,265,56.0,56.5,58.5,59.5,gt55,gt55,gt55,gt55,0.11666666666666667,positive,0.773666666666395,positive,False,True,19.0,up_dominant,6.327984547211858,19.448574391065982,25.0,75.19999999999709,3.0,23.0,-23.0,True,False
1773906000__btc-updown-5m-1773905700,1773906000,1773906000,btc-updown-5m-1773905700,65,265,54.5,63.5,63.5,56.5,45to55,gt55,gt55,gt55,0.06666666666666667,positive,0.20600000000025223,positive,False,True,13.0,up_dominant,3.2461833915492586,9.83144734330135,12.0,20.560000000012224,-7.0,36.0,-35.0,True,False
1773906300__btc-updown-5m-1773906000,1773906300,1773906300,btc-updown-5m-1773906000,65,265,50.5,69.5,62.5,46.5,45to55,gt55,gt55,45to55,-0.13333333333333333,negative,-0.4616666666663756,negative,True,True,-6.5,down_dominant,10.289563391330349,30.989012564528178,36.5,-45.91000000000349,-23.0,-38.0,38.0,False,True
1773906600__btc-updown-5m-1773906300,1773906600,1773906600,btc-updown-5m-1773906300,65,265,51.0,53.0,51.5,48.5,45to55,45to55,45to55,45to55,-0.08333333333333333,negative,-0.12000000000019402,negative,True,True,-3.0,neutral,6.636558216325514,18.24302109224448,25.5,-50.30000000000291,-4.5,-29.5,30.0,False,True
1773907200__btc-updown-5m-1773906900,1773907200,1773907200,btc-updown-5m-1773906900,65,265,47.5,71.0,63.5,55.5,45to55,gt55,gt55,gt55,0.26666666666666666,positive,0.6133333333331393,positive,False,True,11.0,up_dominant,6.1558845879116175,15.564210335427786,26.5,61.36000000000058,-15.5,-71.0,71.0,False,True
1773907500__btc-updown-5m-1773907200,1773907500,1773907500,btc-updown-5m-1773907200,65,265,49.5,48.5,55.0,71.5,45to55,45to55,45to55,gt55,0.7333333333333333,positive,2.2666666666666666,positive,False,True,43.0,up_dominant,8.72439188563333,25.270910679298296,28.0,66.67999999999302,23.0,-62.0,63.0,False,True
1773907800__btc-updown-5m-1773907500,1773907800,1773907800,btc-updown-5m-1773907500,65,265,50.5,55.5,57.5,56.5,45to55,gt55,gt55,gt55,0.2,positive,0.2970000000001164,positive,False,True,14.0,up_dominant,4.217955682287457,9.13043723689066,16.0,21.869999999995343,1.0,25.0,-25.0,True,False
1773908100__btc-updown-5m-1773907800,1773908100,1773908100,btc-updown-5m-1773907800,65,265,50.5,53.5,57.5,61.5,45to55,45to55,gt55,gt55,0.36666666666666664,positive,0.6233333333337214,positive,True,True,23.0,up_dominant,9.694921658723121,20.535043800176265,33.0,-41.06999999999243,8.0,47.0,-48.5,True,False
1773908400__btc-updown-5m-1773908100,1773908400,1773908400,btc-updown-5m-1773908100,65,265,48.5,49.5,59.5,70.5,45to55,45to55,gt55,gt55,0.7333333333333333,positive,1.8720000000001165,positive,False,True,41.0,up_dominant,8.33143573436031,18.49449534477384,26.5,46.06999999999243,21.0,-24.0,24.0,False,True
1773908700__btc-updown-5m-1773908400,1773908700,1773908700,btc-updown-5m-1773908400,65,265,48.5,62.5,72.5,76.5,45to55,gt55,gt55,gt55,0.9333333333333333,positive,1.7793333333330035,positive,False,True,53.0,up_dominant,8.221522629260006,16.313287904617344,30.0,60.64999999999418,14.0,-72.0,69.0,False,True
1773909000__btc-updown-5m-1773908700,1773909000,1773909000,btc-updown-5m-1773908700,65,265,51.0,27.5,33.5,24.5,45to55,lt45,lt45,lt45,-0.8833333333333333,negative,-2.455000000000291,negative,True,False,-51.5,down_dominant,8.053354564582598,20.867968002288134,36.5,-96.27000000000407,-3.0,-14.0,14.0,False,True
